Attribute name,Description,,,,,,,,,,,,,,,,,
COMID,NHD catchment identifier,,,,,,,,,,,,,,,,,
Name,Stream name,,,,,,,,,,,,,,,,,
REACHCODE,NHD reach code,,,,,,,,,,,,,,,,,
GRIDCODE,NHD grid code,,,,,,,,,,,,,,,,,
Reach_Km2,Reach contributing area Km2,,,,,,,,,,,,,,,,,
UpstrmKm2,Total upstream contributing area Km2,,,,,,,,,,,,,,,,,
BFI,Base Flow Index,,,,,,,,,,,,,,,,,
Slope,Channel slope,,,,,,,,,,,,,,,,,
Elevation,Stream catchment mean elevation,,,,,,,,,,,,,,,,,
Solar,Stream catchment mean solar exposure,,,,,,,,,,,,,,,,,
HiCascade,Percent upstream High Casacades geology,,,,,,,,,,,,,,,,,
Forest,Percent upstream forested land cover,,,,,,,,,,,,,,,,,
Developed,Percent upstream developed land cover,,,,,,,,,,,,,,,,,
Ag,Percent upstream agriculture land cover,,,,,,,,,,,,,,,,,
Shrub,Percent upstream shurb land cover,,,,,,,,,,,,,,,,,
Water,Percent upstream waterbodies land cover,,,,,,,,,,,,,,,,,
AirC,"Mean historic annual air temperature, 1991-2023, C",,,,,,,,,,,,,,,,,
Air245mid,"Projected 2045-2074 monthly maximum summer air temperature, low emissions scenario",,,,,,,,,,,,,,,,,
Air245late,"Projected 2075-2100 monthly maximum summer air temperature, low emissions scenario",,,,,,,,,,,,,,,,,
Air585mid,"Projected 2045-2074 monthly maximum summer air temperature, high emissions scenario",,,,,,,,,,,,,,,,,
Air585late,"Projected 2075-2100 monthly maximum summer air temperature, high emissions scenario",,,,,,,,,,,,,,,,,
STpresent,"Annual maximum of 7-day average daily maximum stream temperature, 1991-2023, C (Max7DADM)",,,,,,,,,,,,,,,,,
ST_245mid,"Projected 2045-2074 Annual maximum of 7-day average daily maximum stream temperature, low emissions, C",,,,,,,,,,,,,,,,,
ST_245late,"Projected 2075-2100 Annual maximum of 7-day average daily maximum stream temperature, low emissions, C",,,,,,,,,,,,,,,,,
ST_585mid,"Projected 2045-2074 Annual maximum of 7-day average daily maximum stream temperature, high emissions, C",,,,,,,,,,,,,,,,,
ST_585late,"Projected 2075-2100 Annual maximum of 7-day average daily maximum stream temperature, high emissions, C",,,,,,,,,,,,,,,,,
pred_SE,Standard error of prediction ,,,,,,,,,,,,,,,,,
Diff_245mi,"Projected difference in annual maximum of 7-day average daily maximum stream temperature; low emissions, mid-century",,,,,,,,,,,,,,,,,
Diff_245la,"Projected difference in annual maximum of 7-day average daily maximum stream temperature; low emissions, late-century",,,,,,,,,,,,,,,,,
Diff_585mi,"Projected difference in annual maximum of 7-day average daily maximum stream temperature; high emissions, mid-century",,,,,,,,,,,,,,,,,
Diff585la,"Projected difference in annual maximum of 7-day average daily maximum stream temperature; high emissions, late-century",,,,,,,,,,,,,,,,,
BTp,"Value indicating biological performance of bull trout at temperature; higher the value, higher the performance; 1991-2023",,,,,,,,,,,,,,,,,
BT245m,"Value indicating biological performance of bull trout at temperature; higher the value, higher the performance; low emissions, mid-century",,,,,,,,,,,,,,,,,
BT245l,"Value indicating biological performance of bull trout at temperature; higher the value, higher the performance; low emissions, late-century",,,,,,,,,,,,,,,,,
BT585m,"Value indicating biological performance of bull trout at temperature; higher the value, higher the performance; high emissions, mid-century",,,,,,,,,,,,,,,,,
BT585l,"Value indicating biological performance of bull trout at temperature; higher the value, higher the performance; high emissions, late-century",,,,,,,,,,,,,,,,,
ADULTp,"Value indicating biological performance of adult salmon at temperature; higher the value, higher the performance; 1991-2023",,,,,,,,,,,,,,,,,
ADULT245m,"Value indicating biological performance of adult salmon at temperature; higher the value, higher the performance; low emissions, mid-century",,,,,,,,,,,,,,,,,
ADULT245l,"Value indicating biological performance of adult salmon at temperature; higher the value, higher the performance;  low emissions, late-century",,,,,,,,,,,,,,,,,
ADULT585m,"Value indicating biological performance of adult salmon at temperature; higher the value, higher the performance;  high emissions, mid-century",,,,,,,,,,,,,,,,,
ADULT585l,"Value indicating biological performance of adult salmon at temperature; higher the value, higher the performance;  high emissions, late-century",,,,,,,,,,,,,,,,,
JUVp,"Value indicating biological performance of juvenile salmon at temperature; higher the value, higher the performance; 1991-2023",,,,,,,,,,,,,,,,,
JUV245m,"Value indicating biological performance of juvenile salmon at temperature; higher the value, higher the performance;  low emissions, mid-century",,,,,,,,,,,,,,,,,
JUV245l,"Value indicating biological performance of juvenile salmon at temperature; higher the value, higher the performance; low emissions, late-century",,,,,,,,,,,,,,,,,
JUV585m,"Value indicating biological performance of juvenile salmon at temperature; higher the value, higher the performance; high emissions, mid-century",,,,,,,,,,,,,,,,,
JUV585l,"Value indicating biological performance of juvenile salmon at temperature; higher the value, higher the performance; high emissions, late-century",,,,,,,,,,,,,,,,,
ST_HIP_km,Length in km of high intrinsic potential habitat for steelhead,,,,,,,,,,,,,,,,,
CO_HIP_km,Length in km of high intrinsic potential habitat for coho,,,,,,,,,,,,,,,,,
CH_HIP_km,Length in km of high intrinsic potential habitat for Chinook,,,,,,,,,,,,,,,,,
CHF,"Occurrence of Fall Chinook Salmon in reach based on ODFW fish distribution layers (0=does not occur, 1=does occur)",,,,,,,,,,,,,,,,,
STS,"Occurrence of Summer Steelhead in reach based on ODFW fish distribution layers (0=does not occur, 1=does occur)",,,,,,,,,,,,,,,,,
STW,"Occurrence of Winter Steelhead in reach based on ODFW fish distribution layers (0=does not occur, 1=does occur)",,,,,,,,,,,,,,,,,
CO,"Occurrence of Coho Salmon in reach based on ODFW fish distribution layers (0=does not occur, 1=does occur)",,,,,,,,,,,,,,,,,
BT,"Occurrence of Bull Trout in reach based on ODFW fish distribution layers (0=does not occur, 1=does occur)",,,,,,,,,,,,,,,,,
CHS,"Occurrence of Spring Chinook Salmon in reach based on ODFW fish distribution layers (0=does not occur, 1=does occur)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
