Index,Heading,Stream,Local Flow,Azimuth ,AbsAzimuth
1,147.38,Noyer Creek,SW,-32.62,32.62
2,202.34,Rock Creek,SW,22.34,22.34
3,220.58,Richardson Creek,SW,40.58,40.58
4,240.51,Tickle Creek,SW,60.51,60.51
5,231.58,Deep Creek,SW,51.58,51.58
6,189.18,North Fork Deep Creek,S,9.18,9.18
7,65.08,Clear Creek,NE,-114.92,114.92
8,287.6,Clackamas River,NW,107.6,107.6
9,358.63,Foster Creek,N,178.63,178.63
10,118.18,Deep Creek,SE,-61.82,61.82
11,341.43,Clear Creek,NW,161.43,161.43
12,152.43,Deep Creek,SE,-27.57,27.57
13,296.34,Eagle Creek,W,116.34,116.34
14,10.06,Clackamas River,N,-169.94,169.94
15,248.82,Eagle Creek,W,68.82,68.82
16,238.43,Trout Creek,SW,58.43,58.43
17,317.18,Currin Creek ,NW,137.18,137.18
18,268.46,Bear Creek,W,88.46,88.46
19,335.42,North Fork Eagle Creek,NW,155.42,155.42
20,271.02,Eagle Creek,W,91.02,91.02
21,253.2,North Fork Eagle Creek,SW,73.2,73.2
22,35.98,Clackamas River,NE,-144.02,144.02
23,267.78,North Fork Eagle Creek,W,87.78,87.78
24,300.41,Suter Creek,NW,120.41,120.41
25,256.17,Suter Creek,W,76.17,76.17
26,297.19,Clackamas River,NW,117.19,117.19
27,260.42,Eagle Creek,W,80.42,80.42
28,310.46,Clear Creek,NW,130.46,130.46
29,342.52,Eagle Creek,NW,162.52,162.52
30,293.17,Eagle Creek,NW,113.17,113.17
31,250.41,Eagle Creek,W,70.41,70.41
32,292.87,Delph Creek,NW,112.87,112.87
33,15.31,Clackamas River,NE,-164.69,164.69
34,336.99,Clear Creek,NW,156.99,156.99
35,233.67,North Fork Clackamas River,SW,53.67,53.67
36,357.38,Clackamas River,N,177.38,177.38
37,271.91,Clear Creek,NW,91.91,91.91
38,50.4,South Fork Clackamas River,NE,-129.6,129.6
39,13.11,Little Clear Creek,NE,-166.89,166.89
40,260.45,Clackamas River,W,80.45,80.45
41,226.42,Roaring River,SW,46.42,46.42
42,242.43,Roaring River,W,62.43,62.43
43,338.57,Fish Creek,NW,158.57,158.57
44,0.28,Fish Creek,N,-179.72,179.72
45,352.51,Fish Creek,NW,172.51,172.51
46,337.97,Clackamas River,NW,157.97,157.97
47,228.77,Calico Creek,SW,48.77,48.77
48,328.21,Clackamas River,NW,148.21,148.21
49,29.34,Collawash River ,NE,-150.66,150.66
50,29.34,Collawash River,NE,-150.66,150.66
51,228.46,Clackamas River,SW,48.46,48.46
52,276.66,Clackamas River,W,96.66,96.66
53,309.43,Clackamas River,NW,129.43,129.43
54,94.74,Hot Spring Fork Collawash Creek,E,-85.26,85.26
55,26.87,Clackamas River,NE,-153.13,153.13
56,331.71,Pinhead Creek,NW,151.71,151.71
57,17.12,Pinhead Creek,NE,-162.88,162.88
58,272.24,Last Creek,W,92.24,92.24
59,259.42,Last Creek,W,79.42,79.42
60,334.53,Pinhead Creek,NW,154.53,154.53
61,20.12,Pinhead Creek,NE,-159.88,159.88
62,20.73,Clackamas River,NE,-159.27,159.27
63,25.83,Clackamas River,NE,-154.17,154.17
64,29.63,Clackamas River,NE,-150.37,150.37
65,339.27,Clackamas River,NW,159.27,159.27
66,21.82,Cub Creek,NE,-158.18,158.18
67,344.65,Collawash River,NW,164.65,164.65
68,17.32,Cub Creek,NE,-162.68,162.68
69,341.75,Cub Creek,NW,161.75,161.75
70,285.89,Clackamas River,NW,105.89,105.89
71,343.47,Clackamas River,NW,163.47,163.47
72,62.95,Berry Creek,NE,-117.05,117.05